comments,label
Rất tệ. Đặt son 2 lần không mua đc cả 2 lần ? Toàn không lấy được hàng rồi hết hàng này kia  ? Tốn xu của người ta quá 😡😡😡😡😡😡😡😡😡😡,1
Hàng đẹp!!! Màu chuẩn. Giá mềm. Giao nhanh. Nói chung ok,0
Sản phẩm đầy đủ. Thời gian giao hàng khá chậm...,0
Son rất okkkk,0
"Giao hàng nhanh
Đúng màu mình chọn
Gói hàng cẩn thận
Luôn tin tưởng shop",0
"Trc đây dc tặng màu 02 mà nó quá rợ so với mình. Mua màu này về phối rất hợp, dùng riêng thì đánh thêm má hồng nữa là siêu xinh luôn ❤",0
"Giao hàng quá nhanh luôn, hộp bên ngoài cũng đẹp. Son lên màu chuẩn. Rất ưng ý ",0
Màu xinh cực xinh luôn 😍😍😍,0
Son ok mua ở ni nhiều rồi nên chất lượng khỏi phải bàn cơ mà lần này chất son kiểu gì á đọng lợn cợn nhìn hơi gê,2
"Màu rất đẹp, đây là cây thứ 2 rồi",0
Tốt.,0
Son lên màu đẹp nhưng vài tiếng sau thì chuyển sang base hồng mình k thích lắm.. với review bảo lâu trôi mà mình thấy trôi hết khi ăn uống,1
Mua cay thứ 15 roi,0
Đừng nên mua  hỏi shop còn bảo là xem ảnh shop chả tư vấn gì cả,1
dung dc,2
"Son lên màu đẹp dã man luôn ý
Shop chăm sóc khách hàng nhiệt tình
Lần tới sẽ ủng hộ",0
Đc tặng thêm cái gương xinh xinh. Chất và màu đều lên đẹp,0
Rất đẹp nhé mọi ng .đánh lên xinh cực luôn ý,0
Màu đẹp. Thấy nhiều người khen nên mua xài thử xem sao.  Giao hàng nhanh,0
"Son lên màu đẹp, lì, mềm môi, thích lắm",0
Đóng gói đẹp . Chất lượng tốt,0
Tốt ,0
Oce lắm luôn ạ,0
không phải màu tôi chọn,1
"mịn , tốn ít son, hợp cả da trắng và ngăm",0
Giao hàng rất nhanh. Đúng màu son mình đặt :) ,0
"đóng gói đẹp , có chống sốc , giao hàng nhanh , flash deal 150k thanh toán airpay off đc 20k ",0
"Đóng gói kĩ càng. Sản phẩm còn nguyên seal, không bị hư hỏng gì hết trơn. 
Giá ưu đãi, dùng khá ok, màu xịn, dễ dùng lắm luôn. Mình sẽ cân nhắc quay lại.",0
"Mùi thơm màu đẹp chuẩn
Nhanh khô 😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁",0
Siêu đẹp luôn ó❤️❤️❤️ Chất son thì khỏi bàn nhó😍 Đóng gói thì xinh lắm ó😘,0
"Giao hàng siêu nhanh, đóng gói sản phẩm rất đẹp, săn đc giá hời còn được tặng gương nữa chứ. Yêu quá đi thôi",0
"Giao hàng nhanh, sản phẩm chưa dùng nhưng vẫn cho shop 5 sao , lần sau ủng hộ tiếp",0
Màu xinh lắm ạ!,0
"Tuyệt vời không còn gì để nhận xét thêm, mình xài 3 thỏi rồi :v kakakaka",0
Đặt hôm quA hôm nay đã nhận đc hàng r ❤️ giao hàng nhanh. Son auto đẹp,0
"Son mềm mịn như nhunggggg
Màu 24 lên môi mình base hồng hơi nhiềuuuuuuuu",0
"giao hàng nhanh 
đóng gói kỹ
nhưng mk hơi thất vọng 
đây k phải màu cam đất 
mk test ra tay thấy cam lè ra đánh lên môi như kiểu màu neon ý ",2
Sản phẩm xài ok lắm. Dẽ ủng hộ shop thêm nếu cần nè 😍,0
sao lúc đặt hàng thấy có tặng hộp phấn nền. mà giờ nhận hàng ko có quà tặng vậy ạ,1
"Son đẹp, mùi thơm nhẹ.Giao hàng nhanh, đóng gói chắc chắn mà có một thỏi son mà cho vào hộp to quá thấy hơi phí.",0
"Màu son đẹp, rất thơm",0
"Đặt màu M06 ra màu m6 ,chán , trước bạn mình vừa mua xong cũng giao sai màu vậy ,màu xinh son chính hãng mỗi tội giao sai màu",2
"Chất lượng sản phẩm tốt 😍 dùng thỏi thứ 3 của BBIA r 😊đóng gói đẹp và chắc chắn, mỗi tội shipper nhận hàng đi giao ko nhiệt tình ",0
Son fake. Bán hàng trộn hàng ko à. Mọi người đừng nên mua. Chất son lỏng . Đợt mua ở shop khác ko nv . ,1
Đóng gói cẩn thận cảm ơn shop aaaaaaaaaaaaaaaaaaaaaaaaaaa,0
Giao hàng lâu  đã hủy  mà vẫn  gửi nên vẫn  nhận,2
"Shop giao hàng nhanh, đóng gói siêu đẹp ạ. Hàng xịn xò quá huhu",0
Son và thiết kế đẹp nhưng trôi nhanh màu quá,2
Đóng gói sản phẩm đẹp và chắc chắn . Giao hàng nhanh .,0
"Đóng gói siêu xịn sò luôn
Chất son cũng thích mùi còn thơm nữa 
Thích lắm luôn",0
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0
Quá xịn luôn ạ 😍,0
"Son lên màu đẹp, tuy nhiên không lì lắm, với lại son hơi bột. Màu này là hồng pha Lê nhé.",2
Chất son dùng cực kỳ thích. Cây nào dùng cũng thik hết ak. Chờ đợi ver 5,0
"Son thơm, đóng gói đẹp nhưng màu ko giống hình lắm, phải đặt mua thêm cây khác chứ màu này ko hợp với mình :(",2
"Màu son đẹp, tuy nhiên son hơi khô, khô hơn so với thỏi Bbia mình đang dùng dù cùng loại.",2
"Chất son rất mịn 
Đẹp
Thân son rất nhẹ . Cầm lên tay rất xịn xò 
Giao hàng rất nhanh",0
"không giống màu trong ảnh gì hết, như màu hồng cánh sen vậy -.- được cái lì ",1
Mua chưa lần nào thất vọng cả ❤️❤️,0
"Son đẹp, đóng gói kĩ lưỡng !!!",0
son chất bị bột màu ok mùi nhưu cứt nói chung dùng cũng tạm ổn :)) duma son bôi tí đã khô,1
"son xài dc 2 tháng rồi thấy k có gì khác biệt, sau khi thoa lại có cảm giác nặng môi",1
"Màu k đẹp, dễ lem, dễ trôi, k có độ lì
Khá thất vọng...........",1
"Son đánh rất thích, k bị khô môi. Mình đã mua rất nhiều lần son ở đây. ",0
"Shop đóng gói đẹp và chắc chắn quá , màu này nên cũng xinh nè , sáng ra lắm nè
#a12",0
Đóng gói ok. 2 cây son đều không lì Và có mùi như hóa chất.1 sản phẩm check mã vạch không ra .,1
Thích lắm ,0
"Sản phẩm lên màu tốt, mới chie test thử nên chưa biết độ lì như thế nào, không thấy mùi thơm. ",2
Như hàng giả! Tem mác lệch lạc ! Shoppe mall mà trả hàng thì mất gần nửa tiền ! Không buồn đi trả luôn! Sản phẩm hộp tan nát móp méo rách tem mác ! Chất lượng son ko bám gì hết ! Mua tại tiki  khác hẳn ! Không mã ẩn ! Không tra được mã vạch ! sản phẩm nghi không qua xuất nhập khẩu chính ngạch !,1
"Đóng gói và chất lượng vẫn như mọi khi, vẫn tốt. Nhưng có điều lần này mình đặt thì ship lâu hơn những lần khác.",0
"Bbia là chân ái 
Ndndnbfnrbrbnfndndkdkkekekeejdjdjsjsjsnsjskskskssmndncndnjskwke
Ndndnbfnrbrbnfndndkdkkekekeejdjdjsjsjsnsjskskskssmndncndnjskwke",0
"Xày êm cực kỳ, mua màu 25 rồi, giờ mua thêm màu 23,24",0
"Huhu son với vỏ son xinh dã man luôn . Team cuồng màu xanb thấy cái là phải mua luôn mặc dù đã có 1 em V6 vỏ xanh ❤️❤️❤️ Son xinh lắm ý mua đi mn . Mình lười chụp ảnh mà màu son lên môi như hình nha , còn ko bị trôi son nữa nhé . Đỉnh thật sự 🙆🏻‍♀️",0
"Ưng thiệt sự luôn ,mua nhiều lần r nhưng vẫn phải khen shop, chủ shop nhiệt tình chu đáo
Chờ mãi mới đc e 25 😍😍😍😍😍",0
Shop làm ăn kì.đặt hũ màu tím giao màu vàng.,1
"Vỏ đẹp, son đẹp, màu đẹp, lì dã man. Giao hàng từ hcm ra hn chỉ mất 3 ngày. Nói chung là ưng lắm cơ",0
"Hàng cực kỳ đẹp nha mọi người
Mua hàng chính hãng khoỉ phải lo hàng fake nha",0
Mua 2 cây 2 màu nhưng lại giao 2 cây 1 màu. Định hoàn trả hàng nhưng nghĩ lại toi cho mấy a shipped nên thôi. Son không lì chùi nhẹ là hết. Sẽ không mua lần 2,1
"Chất son mềm mịn, thơm ncl là rất ok luôn. So với tiền 150k thì quá ok sẽ quay lại mua hàng nhiều lần nữa❤️",0
Son lên không chuẩn màu. Đầu cọ cứng.,1
Chất son ok.giao hàng tạm ổn tại xa. Còn đặt set 4c mà giao 1c chả hiểu kiểu gì,1
"Son chất lượng tuyệt vời, màu đỏ cam lên màu đẹp, đóng gói sản phẩm rất đẹp và chắc chắn, mua lúc sale lên được giảm giá, thời gian giao hàng nhanh, rất thích son này😍😍😍",0
"Son ok, màu đẹp! 
Đóng gói cẩn thận.
Anh shipper thân thiện.",0
"Nắp rất khoa mỡ, dễ bị rầy son ra nắp 
",1
"đoang gói sản phẩm chắc chắn cẩn thận, son đẹp, rất đáng tiền, son thơm",0
"Son lên màu đẹp. Chưa thử lên môi nên chưa biết, nhưng mỗi người có sắc tố môi khác nhau nên không chắc sẽ lên màu chuẩn. Hàng được giao rất nhanh❤❤❤❤",0
"Giao hàng nhanh, đóng gói cẩn thận",0
"Sản phẩm chất lượng tốt, giao hàng nhanh, ship nhiệt tình, son màu đẹp",0
"Son lên màu chuẩn và đẹp lắm luôn, bạn nào hay makeup thì hợp hơn. Nếu tô son với mặt mộc thì nên thoa lòng môi và tán nhẹ ra thì sẽ đẹp hơn",0
"Đóng gói sp đẹp, chắc chắn. Chất son ẩm mượt. Màu 11,13 lên môi mình đều thành tông đỏ😂",0
"Đóng hộp dễ thương, có thiệp cám ơn và son được đóng gói bọc bong bóng kĩ lưỡng. Son đẹp từ bao bì tới mùi hương.",0
Giao hàng quá chậm. 10 ngày mới nhận được hàng. Sợ thật haizzzzzzzzahdnndndncmcmmcmcmcmcmcmn,1
"Đóng gói chắc chắn, vỏ ngoài xinh xắn, chất son thích nhưng màu tươi hơn nhiều so với trong ảnh. ",0
"Giao hàng nhanh, đóng gói kỹ càng, son cầm chắc tay và màu son đẹp ",0
"Shop đóng gói cẩn thẩn, lịch sự , son đỏ nhg vx base hồng ánh cam",2
"Son màu đẹp, giao hàng nhanh, đáng tiền nhé ",0
Sẽ tiếp tục ủng hộ shop dài dài💋,0
"Son không được như mình nghĩ mùi rất nồng son lì chứng tỏ sẽ có nhiều chì 
Nhưng giá 17k thì không nói gì được nữa
Thời gian giao hàng nhanh",1
"Giao hàng lâu,  nhắn tin hỏi shop không trả lời,  đợi lâu quá hủy hàng mới thấy giao không cho hủy hàng",1
"Xinh dã man 
Iaiaiaiaisbsie8wnesu8wiwbajwownshiJz zuzzizksjihhu",0
"Deal ổn, có mã giảm giá, đóng gói đẹp, chắc chắn, màu lên môi đẹp.",0
"Mùi son thơm. Giao hàng nhanh. Đóng hộp đẹp, cẩn thận.......",0
"Son lên màu đẹp nhưng không giống như màu trong hình,đóng gói sản phẩm chắc chắnnnnnnnnnnnnnnnnnnnnnnnnnnmnmmm",0
Chất son cực thích lên màu đẹp giao hàng nhanh lần sau sẽ tiếp tục mua nữa,0
Rất là ưng luôn. Màu đẹp. Mùi thơm thơm như kẹo ý. Rất là mướt luôn. ,0
Bản này thật sự thích hơn bản vỏ đen hay đen rất nhiều. Chất son ngày càng cải tiến mịn mướt mà vẫn lì🖤🙆‍♀️,0
"Sản phẩm tốt, chất lượng, màu lên rất đẹp và lâu trôi..rất thích sẽ ủng hộ hết mình ",0
"Chất lượng son dưỡng dhc thì không còn gì để bàn rồi, bóng ,dưỡng ẩm tốt nhưng không hài lòng với vỏ son, đẩy son lên có tí xíu mà không kéo xuống được, phải dùng tay ấn xuống 🙂",1
Gooddddddddddddddddddddddddddddddddddddddddddddddd,0
Sản phẩm oảm. Sẽ ủng hộ shop tiếp tục,0
"Màu này quá đẹp rồi, chất son nhà bbia vẫn vậy mướt môi không khô",0
"Màu 14 :"" oke lắm nha❤ chất sonn đã lắm",0
"Hàng athu đóng gói cẩn thận...sau vài tháng sử dụng,cây a12 chữ ko ra còn a26 bị chốc là sao??",1
màu không giống hình chút nào,1
Đẹp dã man tàn bạo,0
Son lên màu khá chuẩn. Mua về mn rất thích. Mua hộ mn nữa luôn. Màu 2 da trắng dùng đẹp. Màu 4 hợp vs mình hơn,0
Sản xuất từ thang5/2018,2
"Son mềm mịn, lâu trôi, mình mua màu 16, thấy lên màu chuẩn rất ưng, đặc biệt đóng gói chắc chắn, giao hàng siêu nhanh luôn",0
Troioi son siu xinh luonn ý đóng gói thì xinh xắn 10 điểmmmmmm,0
Son lên màu rất đẹp. Đóng gói rất đẹp và chắc chắn. Giao hành rất nhanh.,0
Son sịn sò đẹp lắm ạ. Rất ưng luôn í sẽ ủng hộ shop dài dài 😍😍😍😍😍😍,0
" 01 màu đỏ tươi nhưng khi lên môi mình thấy  là đỏ cam nhiều hơn son mềm mịn , không khô môi, nhưng độ bám màu thì thấp  ăn 1 bữa nhẹ là trôi hết thời gian giao hàng nha",2
Giao hàng rất nhanh. Shop đóng gói kỹ. Son có tem phụ 🌈🌈🌈🌈🌈🌈🌈🌈,0
Ship hàng nhanh. Mua lần đầu tiên thấy ok. Màk còn được shop tặng quà. Sẽ ủng hộ tiếp.☺️☺️,0
Son ko dc lì như qc. Màu son đẹp. Fjfkdiidieejdjudejeidbddidj,2
"Thấy chị em review ác liệt quá nên thử, mua cùng vs chị đồng nghiệp. Chị ấy lên môi đẹp mà mình thì zừ đi trông thấy 😭 Vẫn cho 5 sao vì bất ngờ vs món quà chiếc gương xinh xinh và chất son (đây là thỏi thứ ba mình có) rất ưng. ",0
Mình thấy son này có mùi khá khó chịu như mùi đất sét ấy với cả màu son không giống ảnh đánh lên chỉ toàn ánh cam được cái em này bám cũng khá lâu,1
Mình không rõ có phải hàng auth k vì đem so vơi cây A05 mình mới dùng hết cảm giác mùi son không thơm như cây cũ chất son thì cũng không mướt như vậy. Nhưng lên màu thì vẫn rất ok,2
"Son chất đẹp , mướt môi. Tuy nhiên màu không giống như ảnh",2
"Son hơi base hồng không rõ màu cam lắm
Thiết kế xịn sò
Giao hàng siêu nhanh",0
son mượt mịn lâu trôi lên màu đẹp giá cả họp lí nói chung là dùng thích lắm ạ,0
"Đóng gói kĩ. nhưng sơn rất lỏng, chờ rất lâu vẫn không khô. chả biết làm sao. haizz chờ cả tiếng chẳng thấy khô. ",1
Màu son đẹp dễ dùng. Giao hàng nhanh đóng gói chắc chắn ........,0
"Son quá đẹp luôn, màu lên xinh. Chất son mượt ko bị cộm. Lần đầu mua son rẻ mà ưng quá thể. Sẽ ủng hộ tiếp ạ. Đã thế shop còn cẩn thận tặng cả thiệp nữa. Mỗi tội hộp hàng rõ đẹp mà bên vẩn chuyển để méo móp tùm lum ",0
"Sản phẩm rất ư là xinh, màu đẹp và chất ok hơn các bản trước🙆🏽‍♀️",0
"Thất vọng toàn tập, từ mùi đến màu, cảm giác như đang sử dụng son không chất lượng. Màu khác xa màu trên hình ",1
Giao sai sang màu số 3,1
"Son thơm nhẹ, chất son mịn và không bị khô môi. Bám rất lâu nữa😍😍😍",0
Son thơm vị bạc hà nhưng bôi được một lúc thấy môi rất khô. Mình ngại hư môi nên cũng không dám xài. Mà bỏ thì lại tiếc. Lúc trước mình mua loại khác đâu có thấy khô như vậy. Thất vọng quá,1
"Giao hàng nhanh,  đóng gói sản phẩn chắc chắn, màu son khá ôkê!! ",0
Son siêu đẹp luôn nhá >< thích lắm luôn. Tự nhìn môi mình mà thèm gkeeee,0
Nhận hàng thất vọng luôn. Tưởng mất son ai dè son trên nắp. Son thơm. Lì hay không chưa biết. Màu đẹp,1
"Son date cũ, không có hộp
Để được tặng tuýp nền nhưng không có ???",1
"Màu xinh, chất son mịn mướt, mùi dễ chịu. Chất lượng và đáng mua nha cả nhà ☺️",0
"Son thơm mùi sting dâu, vỏ đẹp mỗi tội màu không được đỏ lắm, hơi thiên về hồng",0
"Sản phẩm son khử chì nhưng mình thử chì bằng bạc và thấy có màu đen, thấy thất vọng về sp",1
"Son thoa lên môi rất mượt, lì, ăn uống xong còn 1 lớp màu nhạt dễ thương, nói chung là rất ưng 
Vì là son lì nên vào buổi tối các bạn gái nhớ tẩy trang môi để không bị hại môi, thâm môi nhé",0
"Mình dùng không hợp nhưng chất son rất đẹp, sẽ tìm m thích hợp để mua lại ",0
"Đóng gói sản phẩm rất đẹp và chắc chắn, son màu đẹp đúng màu mình thích",0
"Màu son đẹp lắm, đánh lên môi ưng cực kỳ, sẽ quay lại ủng hộ tiếp ",0
Giao hàng nhanh Đóng gói chắc chắn hộp khá đẹp  Màu son lên đẹp  Nhưng dễ trôi ,0
"Má ôi son ưng dễ sợ 
Gói hàng rất đẹp 
Anh shipper thân thiện hihi",0
"Giao hàng nhanh, shop phục vụ rất tốt. Shop tặng lịch bàn xinh lắm luôn, son mềm môi, mùi dễ chịu, sẽ tiêp tục ủng hộ shop",0
"Chất son tệ, không bám vào môi, chùi bằng giấy 1 lần là đi hết sạch ",1
Dùng thì thấy ổn lên môi mềm nhẹ đúng màu nhưng k biết làm sao check mã vạch lại k ra tên sản phẩm,2
Trước giờ vẫn ưng bbia lắm. Còn sale nữa sẽ ủng hộ dài dài ak. ^^,0
Check hidden tag không ra,1
"Son bị rơi ra dính vào nắp mà mình không biết, lúc mở ra bị rơi xuống sàn nhà hết huhuhu phí quá . Mọi người có khui son thì cẩn thận.",1
"Giao hàng hơi lâu, đóng gói cẩn thận, test thử vào tay thấy son mịn và mướt, lên màu xinh nữa, rất ưng ý",0
"Đóng gói rất đẹp 
Tội là hộp hơi bị móp xíu",0
shop đánh rất thích màu lên đẹp,0
"Sản phẩm có tem chống giả, đóng gói cẩn thận, chất son tốt, có mùi thơm nhẹ",0
Giao hàng chậm ,1
"Hàng auth, check đc mã nên rất yên tâm",0
". son vừa mịn vừa thơm , đánh lên rất đẹp , lại còn lâu trôi , lần đầu mua ở shop cảm thấy thật tuyệt vời",0
"Màu đẹp lâu trôi
đóng gói cẩn thận giao hàng nhanh 
sẽ ủng hộ tiếpop",0
Son có mùi thơm nhẹ nhàg. Có độ lì. Son lên màu đẹp. Shop có tặg thêm quà nhân dịp tết. Siêu ưng và sẽ ủg hộ shop vào lần sau.❤,0
"Giao hàng khá lâu, màu hơi nhạt, chắc mình đánh màu nổi quen rồi :(((",2
"Giao hàng không nhanh như mình nghĩ. 
Vẫn vote 5 sao vì chất son nhẹ môi.",0
Chẳng có hộp gì cả. Bùn hiu. Ngồi canh voucher thấy bà nội luôn mà cảm giác như bị lừa ý. Chả có voucher giảm 100k đâu nha mấy bạn,1
"Sp Ok  đẹp mịn môi , Tks Shop fhjjvdfgghjhxxhjjhssdfhjhvcgjkhghhhhjhgcygghvvv",0
Son tuyệt vời quá đẹp lun,0
"Package màu xanh siêu xinh, giao hàng nhanh, đóng gói hàng cẩn thận",0
"Son đẹp tuy nhiên vỏ có dấu hiệu mở rồi. Có mùi như sting dâu, màu lên cũng y như sting dâu vậy đó : D",0
"Giao hàng nhanh. Mua ở mall nên rất yên tâm. Màu đẹp, dễ sử dụng. ",0
"Sản phẩm chất lượng tuyệt vời, giao hàng viettel post hơi lâu, đóng gói đạp và chắc chắn, shop phục vụ tốt, rất đáng tiền",0
"Son thơm đánh lên mịn môi, hơi tiếc là đánh ko hợp màu😔😔😔.....",0
"Màu son rất ok nha mọi người , thanks shop ",0
sp chính hãng son đẹp,0
"Bị mất nên mua lại. Son màu xinh vs ít khô môi, bền màu.",0
"Màu 15 xinh lắm, màu 13 hơi nhạt",2
"Son đóng gói trong hộp rất đẹp, kĩ càng, màu lên rất tươi, vẫn thấy hồng nhiều hơn là đất, son lì cực, mình để từ sáng đến chiều bao ăn uống mà vẫn còn, tẩy trang phải 2 miếng bông mới ra",0
Son bị khô với chảy lên vành. Hơi thất vọng,1
Sp tốt...............................................,0
"- Son màu tươi thôi r, thấy mí đứa pan quoánh đều ưng, khá thic màu ni  💋💋
-Mùi thơm như siro dâu í 🍓
",0
"Chất lượng sản phẩm tuyệt, giao hàng nhanh, đóng gói cẩn thận",0
"Gói hàng đẹp, chất son có vẻ bóng hơn loại cũ",0
"Son màu rất ok, nhưng chả hiểu sao thỏi v6 thân thì bé mà nắp lại dài ra, khác với mẫu v6 cũ ",0
Không hiệu quả,1
"son bị lem chứ ko lì, hàng tặng nên rất thất vọng",1
"chất lượng sản phẩm tuyệt vời đánh lên rất mịn, màu đẹp miễn chê, lần sau sẽ ủng hộ thêm",0
"Giao hàng nhanh, đóng gói sản phẩm siêu chắc chắn và cẩn thận.",0
màu son cũng được nhưng mau trôi. ăn xong trôi ngay.,1
mặt nạ giao không đúng loại . rất thất vọng...................còn son thì ok,2
"Hàng chất lượng, giao cẩn thận",0
"Son đẹp, chuẩn màu. Thời gian giao hàng nhanh",0
"Đúng là màu huyền thoại, đẹp lắm mn ơi. Mình quyết chờ màu này có hàng mới mua, đúng là ko uổng công chờ đợi",0
Giao nhanh. Đóng gói chắc chắn. Màu đẹp nhẹ môi. Không gây khô môi.,0
Son mịn môi. Ok lắm đoa đa,0
"Hộp đựng đẹp, bọc kĩ lắm ❤️
Shop giao hàng nhanh❤️
Màu son đẹp ❤️",0
Đóng gói cẩn thận. Màu son đẹp. Rất ưng ý.,0
Chưa dùng chưa pík,2
"Giao hàng siêu nhanh, màu son siêu đẹp, siêu ưng luôn, màu hot nên canh mãi mới mua đc ",0
"Đây là màu 24. Rất đẹp
Shop giao hàng nhanh. 
Son mịn
Lên màu chuẩn",0
"Shop đóng gói cẩn thận.
Son lên màu rất xinh nha 😍😍",0
"Màu đẹp, giao hàng nhanh mua hàng của shop nhiều lần rồi nên khá yên tâm",0
khá xinh ưng màu này tôn giá giá siu siu hợp lí tại mua dc đợt sale hêhhe mn hay mua shop này nha uy tín chất lượng❤️❤️,0
"Phiên bản mới ver 5 này màu 25 lên cực chuẩn. Mùi son có vẻ đậm hơn các ver trước. Độ bám màu theo như cảm nhận của mình thì tương đối, không bám tốt như ver 3. Canh flash sale nên mới vợt được em này. Bình thường màu này toàn sold out",0
"Chất son lỏng nhẹ môi dễ tán màu xinh 
shop gói hàng chắc chắn",0
"Giao hàng nhanh, màu son đẹp dữ lắm mn, yêu shop lắm luôn !!!!!",0
"Đẹp rất hài lòng
",0
Nghe nói chất son kem siêu lì mà mình tô xong ăn nó vẫn trôi sạch như thường haha,1
"Ưng. Cây thứ 2 cũng màu sweet boss rồi ạ. Ưng từ màu son, chất son và giá. ",0
giao hàng hơi lâu nha shop,2
Đóng gói đẹp quá. Rất thích 😊😊,0
"Màu 14 lên màu k được như trước nữa, màu hơi khác",1
Chất lượng sản phẩm ổn. Thời gian giao hàng bình thường. Đóng gói không tốt. Màu son khá nhẹ,2
"Son màu đẹp. Đóng gói hàng đẹp chắc chắn, có giấy chống sốc rất cẩn thận. Nói chung là ưng ",0
"Son đẹp lên màu mịn ko cộm. Mà lúc mú mình ko để ý đến bên giao hàng thế là mặc đinhn jtexpress lun. Trời ơi, nó giao lâu khủng khiếp, cùng ở sg mag tới 5 6 ngày nó mới giao. Thấy bên bbia nên dẹp cái jtexpress lun đi ạ",2
Bọc hàng cẩn thận. Giao hơi lâu nhưng ksaooo . Đẹp lắm ah. Tks shopp 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,0
"Maug son đẹp, giao hàng nhanh chóng, son mịn. Màu 13 cảm giác hơi giống son tint, ko chất nhung như màu 11. ",0
"Chất lượng sản phẩm tuyệt với.
Son đánh lên mềm môi, không bột!",0
"Mua trên tiki lâu rồi, đây là lần thứ 2 mình bị về chất lượng hàng. Và đây là đầu tiên mua son về mà tô thử xong đem bỏ luôn. Ko phải màu xấu hay đẹp, mà là sợ tô nữa vài bữa hư môi luôn.",1
"Son đẹp ưng lm nha mn  màu như hình đóng gói kỹ nên mua lm
A shipper giao hàng cực kì vui tính và thân thiện",0
Son siêu xinh luôn ạ. Đóng gói rất chắn chắn. Lại còn có thiệp nữa. Lần đầu tiên mua của shop mà mình rất ưnggg.,0
Son chuẩn chính hãng ,0
Son đẹp khá lỳ. Hộp cũng xinh quá cơ. 5 sao cho shop nha 😘😘😘😘😘😘😘,0
"Đóng gói sản phẩm cẩn thận, dùng khá thích, giá tốt, rất đáng tiền 👍",0
Siêu xịn luôn á đặc biệt là mua trong thời điểm flashsale nữa nên siêu siêu xịn,0
..... chất lượng sản phẩm tuyệt vời màu đẹp. Trộn với màu 25 đẹp vãi~~~~~~~~~,0
Son đánh mịn thế 🤤,0
"Shop giao hàng nhanh, đặt đơn hàng có cả hàng khuyến mại nhưng khi nhận thì chỉ có mỗi thỏi son không có kem chống nắng, thất vọng!",1
"Giao hàng chậm, ban đầu chỉ nói m3 hết vỏ mới xong lại giao 2 cây vỏ cũ :))) cũng không bù tiền dư ",1
"Sản phẩm đẹp, không bị lỗi, nhưng màu son không đúng với bảng màu cho lắm
",2
Màu đẹp mà còn đc tặng thêm quyển lịch xinh xinh nữa!!!! Sẽ còn ủng hộ shop dài dài ạ!!!!!,0
Mình quên k chụp ảnh nên đã lấy tạm ảnh này . Rất hài lòng về sản phẩm lần nào cũng thế ạ,0
Son xinhh màu lâu trôi lắm nói chung tuyệt vời,0
