,comments,label
53,"-Màu son xinh, trên hình nhìn hơi nghiêng đỏ hồng nhưng bên ngoài thì nhìn nghiêng cam hơn chút xíu.Em này nhiều dưỡng nên mình k thấy bị khô môi lắm, nhg khi tẩy trang thì môi mình bị khô đi một chút. Mùi son thơm mùi kẹo, đánh lên môi thì vẫn thấy phảng phất mùi hương.
-Dễ bị dây son lên thành.",2.0
54,"-shop giao hàng nhanh,đóng gói sản phẩm chắc chắn và đẹp, son màu xinh dã man",0.0
55,-Son BBIA sịn sò nhất tớ từng mua:<<♥🙊 có hẳn Tem chống giả hình như là hàng Auth... Lần sau em sẽ tiếp tục ủng hộ shop ạ!!! Ai đánh giá 1 sao thì em không biết nói sao luôn ấy🙆💗,0.0
57,:( buồn buồn buồn buồn. Mặc dù hàng mới luôn cầu xin shop mà :),1.0
58,":(( son dính, có bóng nhưng ít, có mùi nước rửa bát ",1.0
59,:) đến cái hộp ở ngoài còn không bị nát hihi. Son hịn hịn,0.0
60,":) Shop ơi shop làm ăn sống nhăn luôn đó, giao hàng mà son bị gãy phần cọ thì sao xài",1.0
61,:))))))) có cây son mà shop đóng hộp bự cả quấn chống sốc đầy đủ lun hihi. Son cưng lắm ,0.0
62,":<, chắc do môi mình chứ màu đánh lên ra base hồng hòngggg cơ, buồn qué",1.0
63,":3 son vỏ đẹp, màu làm trắng da , ko lem, ko trôi 😁 lười chụp quá",0.0
65,". Bao bì son còn mới, hàng chính hãng. Đóng gói cẩn thận.
. Chất son mịn, mướt khi lên môi.
. Mình mua màu #17 lên khá sáng da.
",0.0
66,". Có cả tem chống hàng của nữa siêu xịn xò luôn ,son đánh lên môi mịn không khô môi rất đáng tiền luôn nhé màu 25 cực kì đẹp luôn nha 😍",0.0
67,. Giao hàng hơi lâu 🤤 nhưng đc cái son mềm mịn thơm 🤤💓 đóng gói Sp kĩ tốt 🤤💓,0.0
68,. Giao hàng nhanh và shop đóng gói cẩn thận.chất lượng son tốt,0.0
69,". Son 150k mà như son 1triệu rưỡi vậy😍😍 màu chuẩn, son thơm ,mịn, mượt, màu giữ đc lâu trôi lâu phai nữa nha. Uống ts không sợ lem vào ống hút nek , sản phẩm tốt mn lên mua ạ 
Sẽ qlai shop mua vào lần sau, cảm ơn shop!!",0.0
70,". son vừa mịn vừa thơm , đánh lên rất đẹp , lại còn lâu trôi , lần đầu mua ở shop cảm thấy thật tuyệt vời",0.0
71,..... chất lượng sản phẩm tuyệt vời màu đẹp. Trộn với màu 25 đẹp vãi~~~~~~~~~,0.0
76,.........Đặt A12 giao A8 buồn thúi cái guột. Ảnh ko liên quan.,1.0
77,.....son lên màu đẹp lắm ạ.  ...............shop giao hàng siêu siêu nhanh,0.0
78,".giao hàng nhanh "" đóng gói cẩn thận và đẹp mắt 
.vỏ son cầm chắc tay ' thiết kế sắc sảo  "" hộp son có mã check và có phần ghi chú tiếng việt 
.chất son không lỏng kh đặc ' lên môi siêu mịn siêu mướt ' nhanh khô ' độ lì khiến mình quyết định sẽ mua nhiều sản phẩm khác của shop 
",0.0
81,"[SON AUTH] Mình ở HCM, shop cũng ở HCM đặt ngày thứ 7 (22/8), SHOP KHÔNG GỬI HÀNG cho mình trong khi tên sản phẩm ghi là “có sẵn”, đến tận ngày 27/8 mới nhận dc hàng. Nt cho shop shop ko thèm trả lời xem có bán cho mình ko, hay mình mua 1 cây nên chê ít ạ? Thái độ đối với khách hàng cực kì tệ.
",1.0
82,"*🥰 vì đặt hàng ở shoppe mall nên ko lo về chất lượng, đóng gói chắc chắn cẩn thận,giao hàng nhanh, nhưng sao mk ko check đc mã ở vỏ hộp,đầu vỏ có dấu hiệu bị mở ra trc đó nz😐...
*son bám màu khá ổn, mùi thơm như kẹo í 😋,mk sẽ ủng hộ shop vào lần sau🥰...!
",0.0
84,"#15 Màu k giống hình lắm, hơi hồng hơn. Tuy k hài lòng lắm nhưng son mượt, mịn, độ trôi vừa k bám nhiều nên khá thích.",2.0
85,"#19 Romantic chất son rất mềm, mướt trên môi. #13 Serious Boss màu khá xinh, ko khô môi. Chì kẻ mắt dùng rất thích nhưng khá nhanh trôi. Mình mua lúc sale, có mã giảm 60k, freeship, còn đc tặng thêm em gương màu Rose Gold siêu sang... Quá hời, chưa bao h thất vọng về Bbia❤ ",0.0
88,"~son xinh lắm nha
~shop trả lời ib nhiệt tình
~a ship thân thiện",0.0
89,♥️♥️♥️👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,0.0
91,❤️,0.0
92,❤️,0.0
93,❤️,0.0
94,❤,0.0
95,❤️ chất lượng sản phẩm rất tốt đóng gói sản phẩm đẹp chắc chắn rất đáng tiền ,0.0
96,❤️❤️❤️,0.0
97,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0.0
98,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0.0
99,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0.0
100,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🧡🧡🧡🧡🧡🧡❤❤❤❤❤💗💗💓💗💓💗💗💗💗💓💓💓💗💓💓💗💗💗💗,0.0
101,⭐️⭐️⭐️⭐️⭐️,0.0
102,"🌟 Son: Auth, lên màu chuẩn, dùng thích lắmm (về độ nổi tiếng của em này thì khỏi bàn nhá)
💋 Đây là lần đầu tiên mình mua của official store và thực sự cảm thấy được yêu thương vì package quá xinh còn giao hàng thì cực đúng hẹn ^^ ",0.0
103,"🌸chất lượng , phục vụ , vận chuyển , đóng gói 👉🏻 rất tốt 😘❤️",0.0
104,👌,0.0
105,👌👌👌❤️❤️❤️,0.0
106,👍,0.0
107,👍🏿,0.0
108,👍👍,0.0
109,👍👍👍,0.0
110,👍👍👍,0.0
111,👍👍👍 shop nhiệt tình hàng giao đảm bảo,0.0
112,👍👍👍👍👍👍👍,0.0
113,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,0.0
114,💓,0.0
115,💜,0.0
116,💝💝💝,0.0
117,🤗,0.0
118,😁😁😁,0.0
119,"😍🎁😘 Mua hàng chính hãng còn rẽ hơn mấy shop gần nhà bán, max yêu",0.0
120,"😍😍 mùi son thơm dã man, màu cũng đẹp nữa. Shop đóng gói cẩn thận. Còn kèm thiệp nữa, rất đáng yêu :)",0.0
121,😍😍😍,0.0
122,😍😍😍,0.0
123,😚👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌,0.0
124,😚😚😚,0.0
125,"🙂 thề luôn, mua màu 14 thất vọng vãi🤦‍♀️ đánh lên chả biết nó màu gì luôn 🤦‍♀️🤦‍♀️",1.0
126,007 is number one 🥰,0.0
127,"01 giống hồng đào, khá là đẹp, chưa dung nên cũng lo lo, nhưng chất ổn và đẹp, mịn!",0.0
128,02 đỏ cam mà môi mình lên màu đỏ sẫm nhìn ko đc sáng lắm. Màu 25 cũng ko hợp vs da mình. Nhưng cũng đánh giá cho shop 5sao vì gửi hàng rất nhanh.,0.0
129,"02 ở trên , 04 ở dưới . son rất lì , cực lâu trôi👍👍",0.0
132,"1 cái mà hộp hoành tráng quá =)). Son đúng màu mình thích, mùi thơm, đóng gói cẩn thận. Mình chưa để cả ngày nên chưa biết có dễ trôi hay k. Nhưng nói chung là ưng. Sẽ ủng hộ shop",0.0
133,"1 cây date mất hết hơn 1 năm, và 1 cây date mất hết hơn 8 tháng. Mua khuyến mãi lại không tặng quà kèm theo. Bán hàng qua mạng kiểu này shopee coi lại người bán hàng 1 chút!",1.0
134,1 cây hạn sử dụng mất hết hơn 1 năm và 1 cây hạn sử dụng mất hết hơn 8 tháng Mua khuyến mại lại không tặng quà kèm theo. Bán hàng qua mạng kiểu này shopee coi lại người bán hàng 1 chút,1.0
135,"1 KH lâu năm, nhưng sau lần này thật sự rất chán về khâu chăm sóc của shop. Đặt từ t2 thì đến tận t6 mình nhắn tin giục shop, trưa thứ 7 thì nhận được. Có thể là do đang dịch nên khâu vc có vấn đề, mình có thể thông cảm. Nhưng nhận hàng lỗi thế này, mình ib hỏi từ qua thì shop k tl, mất niềm tin..",1.0
136,"1 ngày là nhận được son ,đóng gói kĩ và chắc chắn .Nhất định sẽ quay lại mua vào lần sau 🙆",0.0
137,"1 niềm tin mãnh liệt vào ảnh swatch là 1 màu hồng đất xinh xẻo
Nhưng k là hồng tím các bác ạ. Màu 06 này quá tệ
Độ bóng k như ảnh đâu. K bóng bằng hũ ủ môi luôn ý ạ. Thật vọng tập 2
Màu sau khi lau đi là hồng cánh sen. Thật vọng tập 3
Vỏ limited này k thích lắm nhưng shop hết
CSKH của shop tệ. ",1.0
138,1 sao không nói nhiều,1.0
139,"1 sao không xứng , nhắn tin không rep shop giao quá chậm , son thì không biết giả hay thật . Shop không trả lời là thấy không ưng tí nào rồi ",1.0
140,1 sét 6 cây mà có mỗi 1 cây shop làm việc mất uy tín mong lazada xem xét để shop không đi lừa đảo người mua,1.0
141,"1 thỏi vặn không lên (thỏi bên phải). Giao hàng nhanh.Chất lượng son kém, mùi hắc, bôi lên bị nổi mẩn đỏ ở môi. Không nên mua",1.0
142,"1 tí review cho bạn nào có ý định mua màu 03. Màu 03 mình xem review trên utube thì pha cam , nhưng khi mình dùng thì màu hồng hiện rõ luôn mà ko hề có sắc cam . Son thì rất đậm , quệt nhẹ chứ mạnh tay là rất đậm luôn hiiii. Nhưng mà màu son cũng đẹp , chất son ổn . Chúc shop ngày một may mắn hơn nh",2.0
144,"1. sau khi bôi vào cảm giác môi hơi nặng 2. cũng không dưỡng ẩm được nhiều, bôi thường xuyên vẫn khô môi 3. không hề giảm thâm như đã nói",1.0
145,10 điểm cho sự trách nhiệm và đáng iu lunnnnnnnnnnnnnnnnnnnnn,0.0
146,100 đỉmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,0.0
147,"115 là hồng cánh sen ạ ??? . Bảo đỏ quyến rũ mà thấy hồng không :)))
Chụp lên ảnh còn đỡ màu ở ngoài đúng kiểu hồng cánh sen luôn ",1.0
149,"2 cây màu 02 ok, cây màu 03 khô quá.",2.0
150,2 màu V9 và V6 đều đẹp. Dùng mùa lễ hội là chuẩn bài 🥰,0.0
151,2 thỏi son hoyy nhưng shop bọc hộp to luôn 🤗🤗,0.0
152,"2 thỏi son mà gói kĩ lắm, được tặnh thêm 1 chiếc túi tote nữa, mua đồ ở đây thì không phải lo gì nữa rồi",0.0
153,"24 xíu xiu ánh cam thôi chủ yếu là base hồng, lên môi trẻ hơn màu 25 nhiều tuy nhiên mình đánh lên môi chỉ ngồi học từ 1h đến 4h hơn nó chuyển thành màu hồng cánh sen hồi nào ko hay huhu
Màu 25 trầm ánh cam xinh
Hộp đóng gói son xinh xắn chắc chắn
À trước giờMôi mình đánh son dễ ngả hồng",2.0
155,"2l mua đồ của sky007 rồi, gói hàng rất cẩn thận, 
Son date đến năm 22, rất vừa lòng",0.0
156,"30 mùa lá mít rồi giờ mới tìm dc chất son ưng í các mẹ ạ,lên màu đẹp,tuy mở son ra thấy kem son hơi đặc nhưng đánh lên mịn màu đẹp lắm.e phải rinh thêm e nữa ",0.0
157,"315k thu 318k =))) huỷ đơn từ  htrc shop nhắn tin la đã giao cho bên gh nhưng tận hôm sau mới  giao, làm k đặt dc son khác :)))) ",1.0
158,"4/5: Chất son mềm mượt đẹp dã man. 1/5: Không hề hài lòng với cách phục vụ của tiệm này luôn, nhắn tin thì im ru không reply. ",2.0
159,"5 lần mua ở shop rồi. Vẫn tuyệt vời như 4 lần trước. Hàng chất lượng, đẹp, màu son đẹp, đặc biệt không bị khô môi luôn. Sẽ ủng hộ shop thêm nhiều lần nữa",0.0
160,"5 sao cho nhân viên giao hàng
 Còn son thì cũng ko lì cho lắm 
Nói chung ok",0.0
161,5 sao cho shop,0.0
162,"5 sao cho sự đóng hộp giao hàng siêu ưng, mỗi tội không chụp được ảnh để mà post lên đây ~~ 
Klq nhưng cũng ké 5 sao cho anh giao hàng đáng yêu hihi
BBIA ưng mỗi màu này nên toàn phải canh chờ bao giờ có hàng là mua luôn k cần biết sale hay không sale 😂",0.0
163,5 sao. Sản phẩm chính hãng,0.0
164,5* cho shop. Son siêu xinh hịn mịn. ,0.0
168,"A ship nhiệt tình, sản phẩm thì chưa dùng nên chưa biết chất lượng thế nào nhưng đóng gói rất cẩn thận ",0.0
169,"A5 ko bị quá trầm, ánh đỏ cam nâu, không kém make up có thể sử dụng trên mặt mộc 👄👄👄
Ngoài ra thì thgian chuẩn bị hàng khá chậm
Son có mùi hôi giống mứt hơi nồng",2.0
170,"Aaaa màu đẹp thật sự. Mình rất sợ mua nhầm màu vì túi sinh viên cũng có hạn, nhưng thật rất mừng vì nó cực chuẩn màu mà mình mong ước. Mùi cũng tạm OK không hắc lắm, màu kiểu đỏ ánh cam, tỉ lệ đỏ nhiều nên các bạn yên tâm. Bao xinh luôn nha, không đậm lắm đâu, mình đánh thấy cũng nhẹ môi. Perfec.",0.0
173,Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa màu này vẫn xinh nhất tươi tắn dth màu 25 trầm quá,0.0
177,Abftdhxochcouc9cu9c8xodpfohvkjk i hochocjpvivihhchhlcoccidhoficjcjpchocjovixhihxihcihcihchchichovjihivhivhov son đẹp lắm ạ,0.0
185,Ai dự định mua màu 20 giống mình thì nên xem lại nha. 2019 đã ra bao bì mới mà shop vẫn giao mẫu cũ cho mình trong khi son hạn sử dụng được có 2 năm mà giao hàng cận date cho khách quá. Những màu khác thì giao mẫu mới riêng màu 20 lại vậy. Lần đầu mua của shop mà thất vọng quá 😌,1.0
186,"Ai mua màu 12 phải lưu ý"" bởi men răng trắng đánh mới đẹp""...... 😘",2.0
190,"Ấn đặt mua xong lên các diễn đàn đánh giá thấy mọi người báo shop bán hàng trộn nên vào hủy đơn ngay khi shop chưa giao hàng cho bưu ta vận chuyển nhưng shop từ chối hủy. Khi nhận hàng dùng thấy sản sản phẩm chất rất loãng, đánh xong không bám lên môi, không giống với mua ở mall chính hãng trước kia.",1.0
191,"Ấn đặt mua xong lên các diễn đàn revew thấy mọi người báo shop bán hàng trộn nên vào hủy đơn ngay khi shop chưa giao hàng cho bưu ta vận chuyển nhưng shop từ chối hủy. Khi nhận hàng dùng thấy sản sản phẩm chất rất loãng, đánh xong không bám lên môi, không giống với mua ở mall chính hãng trước kia.",1.0
192,An tuong dau tien la goi hang rat de thuong. Tiep theo la mau son kha dep. Dac biet la rat lì.,0.0
193,"ấn tượng đầu tiên là hộp đẹp :))) đóng gói kỹ, vỏ son của mình bị 1 lỗ nhưng nói chung cũng ổn, màu son đẹp cực nhé, tô lên môi mịn dễ sợ luôn ",0.0
194,"Ấn tượng từ lúc nhận hàng luôn ahuhu. Hộp bọc đẹp này, vỏ hộp son cũng xinh luôn, chất son mịn, lì. Siêu yêu ạ ❤️",0.0
195,Ăn uống xong là môi trông rất kinh son loang nổ ko bao h mua lại,1.0
196,"Ăn uống, tẩy trang rát môi mà vẫn không trôi lớp cuối 😑",1.0
197,Ảnh để tạm :)) son siêu đẹp mỗi tội shop dán giấy lên cái vỏ lỡ xé ra xấu mù 😭 mình khá thích cái võ mà h lại vứt đi,2.0
198,Ánh đỏ hồng. Ít cam. Lỏng hơn ver2. Mùi thơm. Vẫn xịn yêuuuuuuuu đáng tiền,0.0
199,"Anh giáo hàng đẹp trai, nhiệt tình. Son màu đẹp nhưng không lì.",0.0
200,"Anh giao hàng thận thiện lắm nè.
Lần nào mua son của shop cũng có chiếc hộp xinh xinh. 
Khác biệt hẳn so với shop khác. Mình toàn mua bbia của shop ahihi",0.0
202,"Ảnh k liên quan . Nhưg mà mk xin nx đôi chút về sp. Màu sắc mk chọn nên k có j bàn cãi,chất son ổn  dễ đánh  độ bám m trung b -khá ,lem luốc như 1 số  son khác mk đánh  .giao hàng nhanh. ❤❤❤❤",2.0
203,Ảnh không liên quan. Giao hàng siêu nhanh. Shipper thân thiện. Chất son rít,0.0
204,Ảnh klq.son này mình dùng đến thỏi thứ 3 rồi.mềm mịn môi lắm.chất son miễn chê.mua ở mail nên yên tâm dùng,0.0
205,"Ảnh là cảm mà đánh lên môi toàn hồng không 😂😂😂
Khổ tâm thật sự.
Gói hàng vẫn đẹp thế, mỗi tội màu này ko ưng như màu 12. 😅",2.0
206,Ảnh thấy màu cam mà hàng về lại thành màu đỏ ???  Không ưng màu lắm =((((,1.0
207,Ảnh thấy màu cam mà hàng về lại thành màu đỏ Không ưng màu lắm,1.0
208,"Ảnh tuy không liên quan lắm nhưng shop đóng gói sản phẩm kĩ càng, chất lượng phục vụ tốt 👍🏼👍🏼 Tuy nhiên thời gian giao hàng hơi lâu một chút, mong shop lần sau khắc phục một chút. Khi nào sử dụng sản phẩm sẽ review thêm.. ",2.0
209,"Ảnh và màu son không tương thích, 04 như màu nude, rất kén da",1.0
212,Awww xinh xĩu ạ ❤🤤,0.0
213,"Awwwwwww, son auth siêu mịn, màu xanh của vỏ siêu đẹp siêu sang, ưngggg",0.0
215,"Ayyya giao hàng đóng gói cẩn thận , hic ban đầu tính mua #23 , cuối cùng lại chọn #22 , hic màu này dùng thường ngày chắc kh hợp vs mình 😂❤️",2.0
217,"Ba cây chỉ có cây gấc là thơm nhất cây trà xanh thì ko có mùa trà xanh mà lại có mùi dầu dừa hiệu quả chưa biết vì chưa xài . Điều làm thất vọng nhất là mỗi cây đều bị lõm một miếng trông rất nham nhở , lúc đó đang kéo ra coi nhìu mức nào thì thấy vậy :( cảm thấy hơi thất vọng",1.0
219,"Bám môi rất tốt, mình đánh xong uống trà sữa k bị lem ra ống hút. Lần đầu mua rất hài lòng, sẽ mua thêm màu khác ",0.0
220,bán cây son gì khô ran cọ thì không còn miếng long nào hết,1.0
222,Ban đầu mua thích màu 25 tuy nhiên nhận hàng và Swatch son thì màu 12 đẹp dã man ,0.0
223,"Ban đầu nghi, màu sẽ nghiêng về dạng cam cháy như ver3 màu 12. Tuy nhiên, lúc thử giống màu cam neon hơn, với mình đánh đậm lên màu đẹp sẽ đẹp hơn",2.0
224,Bán đồ thì OK đó nhưng nhắn tin ngàn năm không được rep nhiều khi muốn hỏi này nọ khó dã man,1.0
225,"Bạn gái mình thích, 5 sao 💩💩💩",0.0
226,Bán hàng auth duyệt 🤦🏿‍♀️🤦🏿‍♀️🤦🏿‍♀️🤦🏿‍♀️🤦🏿‍♀️😣😣😣😣😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃🤣🤣😏🤣😏🥰🥰😃😃😃😃😃🤣🥰🥰🥰😄😩😄😄🤔👍🤣😭😂🥰😃🥀🤦🏿‍♀️☺️🥰☺️🤣👍😂👍☺️☺️🤣🤣😃😏🏴󠁧󠁢󠁥󠁮󠁧󠁿😩☘️😩😁👍😂😭☺️🥰☺️🤣🥵😄🥵😄😃😄☺️🥰🤣😭😃😣🥀😉😉😌😃😌🥀🤔🤔,0.0
227,Bán hàng fake,1.0
228,Bán hàng mà đưa hàng hư cho khách vậy thì lần sau ai dám đặt nữa. Mua 4 cây mà gãy mất 1 cây. Đây mình mua dùm chứ phải của mình đâu. Bị hư không biết nói sao với họ. Không có lần sau nữa,1.0
